"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10335,10335,"1676",NA,"CANAPA","C1",46.3,6.1,22444,5,18,"1.3",1.3,2003-03-25,"alive","S",1,"A",15789
10336,10336,"1677",NA,"CRY2RU","C1",47.6,4.9,22452,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10337,10337,"1678",NA,"CRY2RU","C1",49.9,4.8,22460,5,24,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10338,10338,"1679",NA,"DIPTCA","C1",49.9,3.9,22468,5,161,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10339,10339,"1680",NA,"DIOSCL","C1",49,0,22476,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10340,10340,"1682",NA,"CANAPA","C1",48.6,0,22484,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10341,10341,"1683",NA,"GAERDB","C1",49.1,3.5,22492,5,22,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10342,10342,"1684",NA,"GAERDB","C1",48.9,0,22500,5,NA,"0",0,2003-03-25,"missing","K",1,"M",15789
10343,10343,"1685",NA,"VATIMA","C1",47.5,0.5,22508,5,290,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10344,10344,"1686",NA,"CANAPA","C1",44.5,0.5,22516,5,NA,"0",0,2003-03-25,"missing","K",1,"A",15789
10345,10345,"1687",NA,"KNEMCI","C1",44.5,1,22524,5,51,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10346,10346,"1733",NA,"CANAPA","C1",44.4,2.2,22532,5,22,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10347,10347,"1734",NA,"ARDITY","C1",43.2,2,22540,5,49,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10348,10348,"1735",NA,"POPOTO","C1",43.2,1,22548,5,20,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
10349,10349,"1736",NA,"MEMEPU","C1",42.5,2,22556,5,20,"1.3",1.3,2003-03-25,"alive",NA,1,"A",15789
