"sp","Latin","Genus","Species","Family","SpeciesID","Authority","IDLevel","syn","subsp"
"LITSGR","Litsea grandis","Litsea","grandis","Lauraceae",447,"Hook.f.","species",NA,NA
"LITSMC","Litsea machilifolia","Litsea","machilifolia","Lauraceae",449,"Gamble","species",NA,NA
"LITSRI","Litsea ridleyi","Litsea","ridleyi","Lauraceae",450,"Gamble","species",NA,NA
"LOPHBE","Lophopetalum beccarianum","Lophopetalum","beccarianum","Celastraceae",451,"Pierre & Ridl.","species",NA,NA
"LOPHWI","Lophopetalum wightianum","Lophopetalum","wightianum","Celastraceae",453,"Arn.","species",NA,NA
"MACA%%","Macaranga indet.","Macaranga","indet.","Euphorbiaceae",454,NA,"multiple",NA,NA
"MACABA","Macaranga bancana","Macaranga","bancana","Euphorbiaceae",455,"M<U+0178>ll.Arg.","species",NA,NA
"MACACO","Macaranga conifera","Macaranga","conifera","Euphorbiaceae",456,"M<U+0178>ll.Arg.","species",NA,NA
"MACAGI","Macaranga gigantea","Macaranga","gigantea","Euphorbiaceae",457,"M<U+0178>ll.Arg.","species",NA,NA
"MACAHY","Macaranga hypoleuca","Macaranga","hypoleuca","Euphorbiaceae",458,"M<U+0178>ll.Arg.","species",NA,NA
"MACALO","Macaranga lowii","Macaranga","lowii","Euphorbiaceae",459,"King ex Hook.f.","species",NA,NA
"MADHKO","Madhuca korthalsii","Madhuca","korthalsii","Sapotaceae",462,"H.J.Lam","species",NA,NA
"MADHMA","Madhuca malaccensis","Madhuca","malaccensis","Sapotaceae",463,"H.J.Lam","species",NA,NA
"MADHSR","Palaquium impressinervium","Palaquium","impressinervium","Sapotaceae",464,"Ng","species",NA,NA
"MAESRA","Maesa ramentacea","Maesa","ramentacea","Maesaceae",465,"Wall.","species",NA,NA
"MAGNEL","Magnolia elegans","Magnolia","elegans","Magnoliaceae",466,"(Bl.) H.Keng","species",NA,NA
"MALLPE","Mallotus penangensis","Mallotus","penangensis","Euphorbiaceae",467,"M<U+0178>ll.Arg.","species",NA,NA
"MARACO","Maranthes corymbosa","Maranthes","corymbosa","Chrysobalanaceae",475,"Blume","species",NA,NA
"MASTSC","Mastixia scortechinii","Mastixia","scortechinii","Nyssaceae",476,"King","species",NA,NA
"MATHSA","Matthaea sancta","Matthaea","sancta","Monimiaceae",478,"Blume","species",NA,NA
"MEIOVI","Meiogyne virgata","Meiogyne","virgata","Annonaceae",479,"Miq.","species",NA,NA
"MEMEAM","Memecylon amplexicaule","Memecylon","amplexicaule","Melastomataceae",484,"Roxb.","species",NA,NA
"MEMECA","Memecylon campanulatum","Memecylon","campanulatum","Melastomataceae",485,"C.B.Clarke","species",NA,NA
"MEMEDI","Memecylon dichotomum","Memecylon","dichotomum","Melastomataceae",487,"C.B.Clarke ex King","species",NA,NA
"MEMEMG","Memecylon megacarpum","Memecylon","megacarpum","Melastomataceae",488,"Furtado","species",NA,NA
"MEMEMI","Memecylon minutiflorum","Memecylon","minutiflorum","Melastomataceae",489,"Miq.","species",NA,NA
"MEMEOL","Memecylon oligoneuron","Memecylon","oligoneuron","Melastomataceae",490,"Blume","species",NA,NA
"MEMEPU","Memecylon pubescens","Memecylon","pubescens","Melastomataceae",491,"King","species",NA,NA
"MEZZLE","Mezzettia parviflora","Mezzettia","parviflora","Annonaceae",492,"Becc.","species",NA,NA
"MICRCA","Microdesmis caseariifolia","Microdesmis","caseariifolia","Pandaceae",494,"Planch. ex Hook.","species",NA,NA
"MILLAT","Millettia atropurpurea","Millettia","atropurpurea","Fabaceae-papilionoideae",495,"Benth.","species",NA,NA
"MONOMA","Monocarpia marginalis","Monocarpia","marginalis","Annonaceae",497,"(R. Scheffer) James Sincl.","species",NA,NA
"MYRICI","Myristica cinnamomea","Myristica","cinnamomea","Myristicaceae",498,"King","species",NA,NA
"MYRIEL","Myristica elliptica","Myristica","elliptica","Myristicaceae",499,"Wall. ex Hook.f. & Thomson","species",NA,NA
"MYRIMA","Myristica maingayi","Myristica","maingayi","Myristicaceae",501,"Hook.f.","species",NA,NA
"NAUCOF","Nauclea officinalis","Nauclea","officinalis","Rubiaceae",503,"(Pierre ex Pit.) N.N.Tran","species",NA,NA
"NEOLZE","Neolitsea zeylanica","Neolitsea","zeylanica","Lauraceae",506,"(Nees & T.Nees) Merr.","species",NA,NA
"NEOSKI","Neoscortechinia kingii","Neoscortechinia","kingii","Euphorbiaceae",508,"Pax & K.Hoffm.","species",NA,NA
"NEPH%%","Nephelium indet.","Nephelium","indet.","Sapindaceae",510,NA,"multiple",NA,NA
"NEPHCO","Nephelium costatum","Nephelium","costatum","Sapindaceae",511,"Hiern","species",NA,NA
"NEPHLA","Nephelium lappaceum","Nephelium","lappaceum","Sapindaceae",513,"L.","species",NA,NA
"NOTHUM","Nothaphoebe umbelliflora","Nothaphoebe","umbelliflora","Lauraceae",517,"Blume","species",NA,NA
"OCHAAM","Ochanostachys amentacea","Ochanostachys","amentacea","Olacaceae",518,"Mast.","species",NA,NA
"ONC1MO","Meiogyne monosperma","Meiogyne","monosperma","Annonaceae",519,"(Hook.f. & Thomson) Heusden","species",NA,NA
"ONC2HO","Oncosperma horridum","Oncosperma","horridum","Arecaceae",520,"Scheff.","species",NA,NA
"OROPCG","Orophea creaghii","Orophea","creaghii","Annonaceae",523,"(Ridl.) Leonard<U+2019>a & Kessler","species",NA,NA
"OSMEPH","Osmelia philippina","Osmelia","philippina","Salicaceae",525,"F.-Villar","species",NA,NA
"PALAGU","Palaquium gutta","Palaquium","gutta","Sapotaceae",526,"Burck","species",NA,NA
"PALAKI","Madhuca kingiana","Madhuca","kingiana","Sapotaceae",528,"H.J.Lam","species",NA,NA
"PALAMI","Palaquium microphyllum","Palaquium","microphyllum","Sapotaceae",529,"King & Gamble","species",NA,NA
"PALAOB","Palaquium obovatum","Palaquium","obovatum","Sapotaceae",530,"King & Gamble","species",NA,NA
"PALAOX","Palaquium oxyleyanum","Palaquium","oxyleyanum","Sapotaceae",531,"Pierre","species",NA,NA
"PANDDP","Pandanus sp.","Pandanus","sp.","Pandanaceae",533,NA,"genus",NA,NA
"PAR1IN","Parishia insignis","Parishia","insignis","Anacardiaceae",536,"Hook.f.","species",NA,NA
"PAR1MA","Parishia maingayi","Parishia","maingayi","Anacardiaceae",537,"Hook.f.","species",NA,NA
"PAR1PA","Parishia paucijuga","Parishia","paucijuga","Anacardiaceae",538,"Engl.","species",NA,NA
"PAR2EL","Parinari elmeri","Parinari","elmeri","Chrysobalanaceae",540,"Merr.","species",NA,NA
"PARKSP","Parkia speciosa","Parkia","speciosa","Fabaceae-mimosoideae",548,"Hassk.","species",NA,NA
"PAYELU","Payena lucida","Payena","lucida","Sapotaceae",550,"Herb.Traj. ex Pierre","species",NA,NA
"PAYEMA","Payena maingayi","Payena","maingayi","Sapotaceae",551,"C.B.Clarke","species",NA,NA
"PELLSA","Pellacalyx saccardianus","Pellacalyx","saccardianus","Rhizophoraceae",553,"Scort.","species",NA,NA
"PENTLA","Pentace triptera","Pentace","triptera","Malvaceae",554,"Mast.","species",NA,NA
"PHAEOP","Phaeanthus ophthalmicus","Phaeanthus","ophthalmicus","Annonaceae",556,"(Roxb. ex G.Don) J.Sinclair","species",NA,NA
"PIMEGR","Pimelodendron griffithianum","Pimelodendron","griffithianum","Euphorbiaceae",558,"(M.A) Benth.","species",NA,NA
"PINANG","Pinanga sp.","Pinanga","sp.","Arecaceae",559,NA,"genus",NA,NA
"PITHEL","Archidendron ellipticum","Archidendron","ellipticum","Fabaceae-mimosoideae",560,"(Blume) I.C.Nielsen","species",NA,NA
"PITHSL","Albizia splendens","Albizia","splendens","Fabaceae-mimosoideae",561,"Miq.","species",NA,NA
"PLANMA","Pouteria maingayi","Pouteria","maingayi","Sapotaceae",562,"(C.B.Clarke) Baehni","species",NA,NA
"POL2KI","Polyosma kingiana","Polyosma","kingiana","Polyosmaceae",564,"Schltr.","species",NA,NA
"POLY%%","Polyalthia indet.","Polyalthia","indet.","Annonaceae",565,NA,"multiple",NA,NA
"POLYAN","Polyalthia angustissima","Polyalthia","angustissima","Annonaceae",566,"Ridl.","species",NA,NA
"POLYCA","Polyalthia cauliflora","Polyalthia","cauliflora","Annonaceae",567,"Hook.f. & Thomson","species",NA,NA
"POLYGL","Polyalthia glauca","Polyalthia","glauca","Annonaceae",568,"Boerl.","species",NA,NA
"POLYHY","Polyalthia hypoleuca","Polyalthia","hypoleuca","Annonaceae",569,"Hook.f. & Thomson","species",NA,NA
"POLYMA","Polyalthia macropoda","Polyalthia","macropoda","Annonaceae",573,"King","species",NA,NA
"POLYRU","Polyalthia rumphii","Polyalthia","rumphii","Annonaceae",574,"Merr.","species",NA,NA
"POPOPI","Popowia pisocarpa","Popowia","pisocarpa","Annonaceae",576,"Endl.","species",NA,NA
"POPOTO","Popowia tomentosa","Popowia","tomentosa","Annonaceae",577,"Maingay ex Hook.f. & Thomson","species",NA,NA
"PORTAN","Porterandia anisophylla","Porterandia","anisophylla","Rubiaceae",578,"(Jack ex Roxb.) Ridl.","species",NA,NA
"POUTMA","Pouteria malaccensis","Pouteria","malaccensis","Sapotaceae",579,"(C.B.Clarke) Baehni","species",NA,NA
"PRISGL","Prismatomeris glabra","Prismatomeris","glabra","Rubiaceae",580,"(Korth.) Valeton & Ridl.","species",NA,NA
"PRUNAR","Prunus arborea","Prunus","arborea","Rosaceae",581,"(Blume) Kalkman","species",NA,NA
"PRUNPO","Prunus polystachya","Prunus","polystachya","Rosaceae",582,"(Hook.f.) Kalkman","species",NA,NA
"PSYCS1","Psychotria species 1","Psychotria","species 1","Rubiaceae",586,NA,"genus",NA,NA
"PTE1CO","Pternandra coerulescens","Pternandra","coerulescens","Melastomataceae",588,"Jack","species",NA,NA
"PTE1EC","Pternandra echinata","Pternandra","echinata","Melastomataceae",589,"Jack","species",NA,NA
"PTYCCA","Ptychopyxis caput-medusae","Ptychopyxis","caput-medusae","Euphorbiaceae",596,"Ridl.","species",NA,NA
"QUERAR","Quercus argentata","Quercus","argentata","Fagaceae",597,"Korth.","species",NA,NA
"RADEPI","Radermachera pinnata","Radermachera","pinnata","Bignoniaceae",598,"Seem.","species",NA,NA
"RHODCI","Rhodamnia cinera","Rhodamnia","cinera","Myrtaceae",599,"Jack","species",NA,NA
"ROTHMA","Rothmannia macrophylla","Rothmannia","macrophylla","Rubiaceae",601,"(Hook.f.) Bremek.","species",NA,NA
"SABIGI","Meliosma lanceolata var. lanceolata","Meliosma","lanceolata var. lanceolata","Sabiaceae",602,"Blume","species",NA,NA
"SANDBE","Sandoricum beccarianum","Sandoricum","beccarianum","Meliaceae",603,"Baill.","species",NA,NA
"SANDKO","Sandoricum koetjape","Sandoricum","koetjape","Meliaceae",604,"Merr.","species",NA,NA
"SANT%%","Santiria indet.","Santiria","indet.","Burseraceae",605,NA,"multiple",NA,NA
